minutes_roll_3,threat_roll_5,element,value,assists_roll_5,creativity_roll_5,bonus_roll_3,goals_conceded_roll_5,creativity_roll_3,ict_index_roll_5,threat_roll_3,total_points_roll_5,api_minutes_roll_5,api_duels_total_roll_3,next_was_home,api_minutes_roll_3,api_blocks_roll_3,ict_index_roll_3,goals_scored_roll_5,api_goals_roll_3,api_duels_won_roll_3,total_points_roll_3,api_duels_total_roll_5,api_duels_won_roll_5,round,api_goals_roll_5,minutes_roll_5,assists_roll_3,goals_conceded_roll_3,api_assists_roll_3,api_interceptions_roll_3,bps_roll_3,clean_sheets_roll_5,goals_scored_roll_3,api_interceptions_roll_5,api_assists_roll_5,api_blocks_roll_5,clean_sheets_roll_3,bonus_roll_5,bps_roll_5,next_opponent_strength,api_tackles_roll_3,api_tackles_roll_5,target_points
90.0,4.0,5,60,0.0,0.3,0.0,0.0,0.3,2.7,4.0,6.0,90.0,11.0,True,90.0,3.0,2.7,0.0,0.0,6.0,6.0,11.0,6.0,1,0.0,90.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,23.0,3.0,1.0,1.0,6.0
90.0,5.0,5,60,0.0,1.7999999999999998,0.0,0.0,1.7999999999999998,2.5,5.0,6.0,90.0,8.0,False,90.0,2.0,2.5,0.0,0.0,5.0,6.0,8.0,5.0,2,0.0,90.0,0.0,0.0,0.0,0.5,24.5,1.0,0.0,0.5,0.0,2.0,1.0,0.0,24.5,4.0,0.5,0.5,2.0
90.0,4.0,5,61,0.0,1.6666666666666667,0.0,0.3333333333333333,1.6666666666666667,2.3000000000000003,4.0,4.666666666666667,90.0,6.0,True,90.0,1.6666666666666667,2.3000000000000003,0.0,0.0,3.6666666666666665,4.666666666666667,6.0,3.6666666666666665,3,0.0,90.0,0.0,0.3333333333333333,0.0,0.6666666666666666,19.0,0.6666666666666666,0.0,0.6666666666666666,0.0,1.6666666666666667,0.6666666666666666,0.0,19.0,3.0,0.6666666666666666,0.6666666666666666,9.0
90.0,5.25,5,61,0.0,1.575,0.3333333333333333,0.25,2.0,2.675,5.666666666666667,5.75,90.0,5.333333333333333,True,90.0,1.3333333333333333,2.6666666666666665,0.0,0.0,3.6666666666666665,5.666666666666667,6.75,4.25,4,0.0,90.0,0.0,0.3333333333333333,0.0,1.0,22.0,0.75,0.0,0.75,0.0,1.75,0.6666666666666666,0.25,22.25,4.0,1.0,1.0,2.0
90.0,4.2,5,61,0.0,1.72,0.3333333333333333,0.4,1.6666666666666667,2.58,3.6666666666666665,5.0,90.0,6.333333333333333,False,90.0,1.0,2.6333333333333333,0.0,0.0,3.6666666666666665,4.333333333333333,7.0,4.2,5,0.0,90.0,0.0,0.6666666666666666,0.0,0.6666666666666666,17.666666666666668,0.6,0.0,0.6,0.0,1.4,0.3333333333333333,0.2,20.4,3.0,1.3333333333333333,1.0,13.0
90.0,10.0,5,61,0.0,2.1599999999999997,1.3333333333333333,0.6,2.033333333333333,4.279999999999999,14.0,6.4,90.0,10.666666666666666,True,90.0,1.3333333333333333,5.733333333333333,0.2,0.3333333333333333,7.333333333333333,8.0,7.8,5.4,6,0.2,90.0,0.0,0.6666666666666666,0.0,1.3333333333333333,26.333333333333332,0.4,0.3333333333333333,1.2,0.0,1.2,0.3333333333333333,0.8,22.6,3.0,2.0,1.4,9.0
90.0,9.2,5,62,0.0,1.9,1.3333333333333333,0.6,2.266666666666667,4.4,11.666666666666666,7.0,90.0,11.0,False,90.0,0.6666666666666666,5.433333333333334,0.2,0.3333333333333333,7.333333333333333,8.0,8.8,5.8,7,0.2,90.0,0.0,0.6666666666666666,0.0,1.6666666666666667,26.666666666666668,0.4,0.3333333333333333,1.4,0.0,1.0,0.3333333333333333,1.0,24.0,3.0,2.0,1.8,12.0
90.0,11.8,5,63,0.2,3.94,2.3333333333333335,0.4,5.366666666666667,5.220000000000001,16.666666666666668,9.0,90.0,11.333333333333334,True,90.0,0.6666666666666666,6.7,0.2,0.3333333333333333,8.0,11.333333333333334,10.2,6.8,8,0.2,90.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.6666666666666667,33.333333333333336,0.6,0.3333333333333333,1.2,0.2,0.8,0.6666666666666666,1.6,29.0,3.0,1.6666666666666667,1.6,9.0
90.0,11.8,5,64,0.2,5.92,2.3333333333333335,0.4,8.266666666666666,5.4,8.666666666666666,9.0,90.0,9.333333333333334,False,90.0,0.6666666666666666,4.533333333333334,0.2,0.0,5.666666666666667,10.0,10.2,6.6,9,0.2,90.0,0.3333333333333333,0.0,0.3333333333333333,1.0,32.666666666666664,0.6,0.0,1.2,0.2,0.8,1.0,2.0,29.0,3.0,0.6666666666666666,1.2,12.0
90.0,12.6,5,65,0.4,7.719999999999999,2.6666666666666665,0.2,11.366666666666667,5.9799999999999995,9.333333333333334,11.0,90.0,8.333333333333334,False,90.0,0.6666666666666666,5.266666666666667,0.2,0.0,5.666666666666667,11.0,10.0,7.0,10,0.2,90.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,34.666666666666664,0.8,0.0,1.4,0.4,0.8,1.0,2.4,34.2,3.0,0.3333333333333333,1.2,1.0
