minutes_roll_3,element,value,bonus_roll_3,goals_conceded_roll_5,ict_index_roll_5,total_points_roll_5,api_minutes_roll_5,next_was_home,api_minutes_roll_3,ict_index_roll_3,total_points_roll_3,round,minutes_roll_5,api_saves_roll_3,goals_conceded_roll_3,saves_roll_3,bps_roll_3,clean_sheets_roll_5,saves_roll_5,api_saves_roll_5,clean_sheets_roll_3,bonus_roll_5,bps_roll_5,next_opponent_strength,target_points
0.0,3,40,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,3,40,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,3,40,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,3,40,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,3,40,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,3,40,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,3,40,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,4,40,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,4,40,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
0.0,4,40,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,4,40,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
0.0,4,40,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,4,40,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,4,40,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,4,40,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,4,40,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,4,40,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,4,40,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,32,50,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
45.0,32,50,0.0,0.5,0.65,1.0,45.0,True,45.0,0.65,1.0,2,45.0,0.5,0.5,0.5,7.5,0.0,0.5,0.5,0.0,0.0,7.5,3.0,0.0
30.0,32,50,0.0,0.3333333333333333,0.43333333333333335,0.6666666666666666,30.0,False,30.0,0.43333333333333335,0.6666666666666666,3,30.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,5.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,5.0,3.0,6.0
60.0,32,50,0.0,0.25,0.825,2.0,45.0,False,60.0,1.0999999999999999,2.6666666666666665,4,45.0,1.0,0.3333333333333333,1.0,14.0,0.25,0.75,0.75,0.3333333333333333,0.0,10.5,3.0,3.0
60.0,32,50,0.0,0.4,1.04,2.2,54.0,True,60.0,1.3,3.0,5,54.0,1.6666666666666667,0.3333333333333333,1.6666666666666667,13.0,0.2,1.2,1.2,0.3333333333333333,0.0,10.8,3.0,3.0
90.0,32,50,0.0,0.6,1.56,2.8,72.0,True,90.0,2.1666666666666665,4.0,6,72.0,2.6666666666666665,0.6666666666666666,2.6666666666666665,17.333333333333332,0.2,1.8,1.8,0.3333333333333333,0.0,13.4,3.0,1.0
90.0,32,50,0.0,0.6,1.52,2.6,72.0,False,90.0,1.8666666666666665,2.3333333333333335,7,72.0,2.3333333333333335,1.0,2.3333333333333335,11.333333333333334,0.2,1.8,1.8,0.0,0.0,12.2,3.0,2.0
90.0,32,50,0.0,0.8,1.8399999999999999,3.0,90.0,True,90.0,1.7666666666666668,2.0,8,90.0,2.0,1.0,2.0,10.666666666666666,0.2,2.2,2.2,0.0,0.0,14.2,4.0,8.0
90.0,32,50,0.3333333333333333,0.8,1.98,3.4,90.0,False,90.0,1.8,3.6666666666666665,9,90.0,2.0,0.6666666666666666,2.0,17.0,0.2,2.4,2.4,0.3333333333333333,0.2,15.2,4.0,1.0
90.0,32,50,0.3333333333333333,1.0,1.78,3.0,90.0,True,90.0,1.7333333333333336,3.6666666666666665,10,90.0,2.3333333333333335,1.0,2.3333333333333335,15.333333333333334,0.2,2.2,2.2,0.3333333333333333,0.2,13.6,3.0,14.0
90.0,32,50,1.0,0.8,2.08,5.2,90.0,False,90.0,2.566666666666667,7.666666666666667,11,90.0,2.6666666666666665,0.6666666666666666,2.6666666666666665,24.0,0.4,2.2,2.2,0.6666666666666666,0.6,18.2,3.0,3.0
90.0,33,45,0.0,0.0,2.0,7.0,90.0,False,90.0,2.0,7.0,1,90.0,3.0,0.0,3.0,29.0,1.0,3.0,3.0,1.0,0.0,29.0,3.0,0.0
45.0,33,45,0.0,0.0,1.0,3.5,45.0,True,45.0,1.0,3.5,2,45.0,1.5,0.0,1.5,14.5,0.5,1.5,1.5,0.5,0.0,14.5,3.0,0.0
60.0,33,45,0.0,1.0,0.8666666666666667,2.3333333333333335,60.0,False,60.0,0.8666666666666667,2.3333333333333335,3,60.0,1.3333333333333333,1.0,1.3333333333333333,7.333333333333333,0.3333333333333333,1.3333333333333333,1.3333333333333333,0.3333333333333333,0.0,7.333333333333333,3.0,0.0
30.0,33,45,0.0,0.75,0.65,1.75,45.0,False,30.0,0.19999999999999998,0.0,4,45.0,0.3333333333333333,1.0,0.3333333333333333,-2.3333333333333335,0.25,1.0,1.0,0.0,0.0,5.5,3.0,0.0
30.0,33,45,0.0,0.6,0.52,1.4,36.0,True,30.0,0.19999999999999998,0.0,5,36.0,0.3333333333333333,1.0,0.3333333333333333,-2.3333333333333335,0.2,0.8,0.8,0.0,0.0,4.4,3.0,0.0
0.0,33,45,0.0,0.6,0.12,0.0,18.0,True,0.0,0.0,0.0,6,18.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,-1.4,3.0,0.0
0.0,33,44,0.0,0.6,0.12,0.0,18.0,False,0.0,0.0,0.0,7,18.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,-1.4,3.0,0.0
0.0,33,44,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
0.0,33,44,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
0.0,33,43,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,33,43,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,34,40,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,34,40,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,34,40,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,34,40,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,34,40,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,34,40,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,34,40,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,34,40,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
0.0,34,40,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
0.0,34,40,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,34,40,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,35,40,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,35,40,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,35,40,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,35,40,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,35,40,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,35,40,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,35,40,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,35,40,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
0.0,35,40,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
0.0,35,40,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,35,40,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,66,45,0.0,0.0,0.0,0.0,90.0,True,90.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,66,45,0.0,0.0,0.0,0.0,90.0,False,90.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,66,45,0.0,0.0,0.0,0.0,87.0,True,87.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,66,45,0.0,0.0,0.0,0.0,87.75,True,87.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,66,45,0.0,0.0,0.0,0.0,71.6,False,59.333333333333336,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,66,45,0.0,0.0,0.0,0.0,69.4,True,58.666666666666664,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,66,45,0.0,0.0,0.0,0.0,66.4,False,53.666666666666664,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,66,45,0.0,0.0,0.0,0.0,65.8,True,77.33333333333333,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,66,45,0.0,0.0,0.0,0.0,64.8,False,79.33333333333333,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
0.0,66,45,0.0,0.0,0.0,0.0,80.4,False,82.66666666666667,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,66,45,0.0,0.0,0.0,0.0,80.0,True,82.33333333333333,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
90.0,67,45,0.0,4.0,4.8,2.0,90.0,True,90.0,4.8,2.0,1,90.0,6.0,4.0,6.0,10.0,0.0,6.0,6.0,0.0,0.0,10.0,3.0,6.0
90.0,67,45,0.0,2.0,2.95,4.0,90.0,False,90.0,2.95,4.0,2,90.0,3.5,2.0,3.5,16.5,0.5,3.5,3.5,0.5,0.0,16.5,3.0,5.0
90.0,67,45,0.0,1.3333333333333333,2.3333333333333335,4.333333333333333,90.0,True,90.0,2.3333333333333335,4.333333333333333,3,90.0,2.6666666666666665,1.3333333333333333,2.6666666666666665,18.333333333333332,0.6666666666666666,2.6666666666666665,2.6666666666666665,0.6666666666666666,0.0,18.333333333333332,3.0,2.0
90.0,67,45,0.0,1.25,1.975,3.75,90.0,True,90.0,1.0333333333333334,4.333333333333333,4,90.0,1.0,0.3333333333333333,1.0,16.666666666666668,0.5,2.25,2.25,0.6666666666666666,0.0,15.0,3.0,6.0
90.0,67,45,0.0,1.0,1.78,4.2,90.0,False,90.0,1.0,4.333333333333333,5,90.0,1.0,0.3333333333333333,1.0,16.333333333333332,0.6,2.0,2.0,0.6666666666666666,0.0,16.4,3.0,3.0
90.0,67,45,0.0,0.6,1.7600000000000002,4.4,90.0,True,90.0,2.1999999999999997,3.6666666666666665,6,90.0,2.6666666666666665,1.0,2.6666666666666665,15.0,0.6,2.0,2.0,0.3333333333333333,0.0,18.0,3.0,3.0
90.0,67,45,0.0,0.8,1.9200000000000004,3.8,90.0,False,90.0,2.533333333333333,4.0,7,90.0,3.3333333333333335,1.0,3.3333333333333335,17.666666666666668,0.4,2.4,2.4,0.3333333333333333,0.0,16.0,3.0,2.0
90.0,67,45,0.0,1.4,2.34,3.2,90.0,True,90.0,3.266666666666667,2.6666666666666665,8,90.0,4.333333333333333,2.0,4.333333333333333,13.333333333333334,0.2,3.0,3.0,0.0,0.0,13.4,3.0,8.0
90.0,67,45,0.3333333333333333,1.2,2.7600000000000002,4.4,90.0,False,90.0,2.6999999999999997,4.333333333333333,9,90.0,3.6666666666666665,1.3333333333333333,3.6666666666666665,17.666666666666668,0.4,3.6,3.6,0.3333333333333333,0.2,18.6,4.0,2.0
90.0,67,45,0.3333333333333333,1.8,3.22,3.6,90.0,False,90.0,3.1666666666666665,4.0,10,90.0,4.0,2.0,4.0,16.0,0.2,4.2,4.2,0.3333333333333333,0.2,15.8,3.0,1.0
90.0,67,45,0.3333333333333333,2.2,2.82,3.2,90.0,True,90.0,3.0,3.6666666666666665,11,90.0,4.0,2.3333333333333335,4.0,14.0,0.2,3.8,3.8,0.3333333333333333,0.2,12.8,3.0,1.0
0.0,68,40,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,68,40,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,68,40,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,68,40,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,68,40,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,68,40,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,68,40,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,68,40,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,68,40,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
0.0,68,40,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,68,40,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,69,40,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,69,40,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,69,40,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,69,40,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,69,40,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,69,40,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,69,40,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,69,40,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
